Sub0,Sub1,Sub2,Sub3,Sub4,Sub5,Sub6
CS206,CS230,,,,,
CS330,CS471,EE202,,,,
CS230,CS300,CS206,ME207,ME340,,
CS230,BiS437,BiS427,BiS351,,,
CS330,CS380,CS492,,,,
EE581,EE478,,,,,
CS320,CS311,EE201,EE303,,,
CS206,EE405,,,,,
EE352,EE432,EE305,IP407,,,
EE463,EE509,,,,,
EE403,EE488,EE214,MS212,,,
CS330,CS360,CS471,,,,
CS230,PH475,PH754,,,,
EE213,EE326,,,,,
EE209,EE304,EE305,,,,
CS300,IE331,IE312,BTM230,,,
EE209,CS204,CS230,BTM235,,,
CS220,CS320,CS211,IE241,,,
CS330,CS471,BS483,,,,
CS376,CS431,CS360,CS470,CS341,CS311,CS492
EE303,EE488,EE488,EE485,,,
EE202,EE201,EE211,EE210,EE204,,
EE204,EE201,,,,,
CS576,CS492,IE471,CS492,CS495,,
CS300,EE362,EE305,EE403,,,
CS320,IE251,IE241,,,,
EE432,EE209,CS300,CS230,,,
CS230,CS300,CS320,CS376,CS492,,
CS204,CS206,BiS301,BiS352,,,
CS471,CS524,BiS301,,,,
EE202,EE201,MAS350,EE209,EE485,,
CS376,EE304,EE303,CS230,,,
EE477,EE214,CS311,,,,
EE210,CS204,EE412,,,,
CS470,CS570,CS576,EE209,EE509,,
CS471,CS492,CS330,BS483,,,
EE202,EE201,EE210,EE485,,,
EE202,EE209,EE211,,,,
EE304,EE303,EE362,,,,
CS471,CS492,CS374,,,,
EE204,BTM455,,,,,
CS477,CS320,CS300,EE305,CS492,,
CS360,CS376,,,,,
CS341,CS576,CS320,CS492,,,
CS206,MAS241,,,,,
EE304,EE209,EE305,EE465,,,
CS376,CS330,CS341,EE312,CS311,,
CS320,CS311,CS471,,,,
EE474,EE326,,,,,
EE209,EE571,EE465,,,,
EE463,EE465,EE561,EE473,,,
EE204,EE465,EE405,EE312,EE495,,
EE321,EE421,EE326,EE405,CS376,CS330,
EE305,EE321,ME487,ME491,ME340,,
EE465,EE305,EE473,MS212,MS461,,
CS431,CS486,CS374,,,,
CS471,AI611,CS470,CS493,,,
EE463,EE303,EE465,EE211,EE485,,
EE204,EE312,EE305,,,,
EE201,EE485,EE209,EE202,EE485,,
CS206,EE210,EE485,CS230,,,
EE305,CS204,EE303,EE304,EE381,,
EE205,EE403,EE211,,,,
EE214,EE362,,,,,
EE405,EE312,,,,,
EE202,EE211,EE209,,,,
EE304,EE303,EE485,,,,
EE211,EE485,EE210,,,,
EE201,EE303,EE305,,,,
EE304,CS204,EE381,,,,
EE209,EE304,EE362,CS320,CS300,EE485,
EE465,EE463,,,,,
EE362,EE303,EE201,EE204,,,
CS206,CS300,,,,,
CS457,EE488,EE474,EE477,,,
EE485,EE201,CBE472,IP407,CBE311,,
CS330,CS492,CH221,BS315,,,
CS376,CS300,BS316,CS360,,,
BS202,BiS252,CS204,CS230,,,
EE474,EE214,EE488,EE305,EE485,,
EE312,EE432,,,,,
EE303,EE304,,,,,
EE201,EE210,BiS200,,,,
EE201,EE202,,,,,
EE202,EE209,EE211,E485,CS300,,
EE204,EE303,EE362,E485,,,
PH391,EE305,EE341,EE362,,,
EE211,EE304,,,,,
EE211,EE210,ID219,,,,
EE209,EE304,EE202,EE213,EE485,,
EE321,EE303,ID212,,,,
EE432,CS376,ID301,EE305,EE485,,
EE326,EE381,ID301,,,,
CS270,CS311,CS360,MAS241,,,
IE471,CS311,CS492,IE331,IE251,,
IE241,IE343,CS300,CS320,CS492,,
IE221,IE241,CS360,CS376,CS492,,
EE303,EE202,EE204,,,,
EE202,EE201,,,,,
EE210,MS211,EE303,EE485,,,
EE211,EE304,EE204,EE305,,,
MS212,MS331,EE381,CS204,,,
MS431,EE362,EE403,,,,
EE202,EE201,ME454,ME361,ME203,,
EE202,EE204,EE211,CS206,,,
EE201,EE209,EE210,EE485,CS204,,
EE303,EE321,CS270,CS300,,,
EE304,EE305,,,,,
EE214,EE362,EE403,EE432,,,
CS470,CS471,CS457,BS315,BS357,,
CS341,CS300,CS320,CS492,,,
CS300,CS330,CS320,BS319,,,
CS360,CS376,BS205,BS307,,,
CS311,CS230,BS202,BS316,,,
CS204,CS206,BS209,BS435,,,
EE210,EE202,EE211,,,,
EE201,MSB230,,,,,
EE362,EE303,EE381,,,,
EE204,EE304,MSB441,,,,
EE305,EE352,EE432,IP407,,,
CS300,CS320,CS492,CS481,,,
CS204,MSB238,,,,,
CS376,CS300,CS311,BiS438,,,
CS230,CS360,BS209,BS319,,,
CS204,CS206,BS307,BS205,,,
CS300,BiS223,EE209,EE210,,,
CS311,CS320,BiS232,,,,
CS220,CS230,CS270,CS376,,,
CS431,CS470,,,,,
CS311,CS360,CS376,CS492,,,
CS350,CS492,IE101,,,,
EE202,EE210,EE211,CS204,CS206,,
CS376,CS220,EE304,EE305,,,
EE205,EE210,CS230,EE303,,,
EE201,CS300,EE209,CS320,CS311,,
CS206,PH211,ME491,,,,
PH222,PH232,EE202,EE202,,,
PH301,PH311,EE209,EE211,EE303,EE304,
PH391,EE304,EE312,EE362,,,
PH212,PH251,PH301,EE305,EE415,,
EE488,CS204,CS206,CS230,CS376,,
EE323,EE405,CS300,CS330,CS380,CS448,
EE324,EE488,CS320,CS459,CS492,,
CS311,CS360,CS448,CS492,,,
EE204,CS220,CS431,CS530,,,
EE210,CS204,CS206,,,,
EE201,EE209,CS311,,,,
EE202,EE485,CS204,CS230,CS300,,
EE432,CS320,CS330,CS360,,,
EE495,CS341,CS376,CS484,,,
CS371,CS479,CS492,,,,
CS206,EE201,BTM230,,,,
EE202,EE209,EE303,CS300,EE211,,
CS204,CS206,,,,,
EE201,EE202,EE209,CS300,CS311,,
EE201,EE209,CS320,,,,
CS230,CS320,BTM230,,,,
EE204,CS220,CS492,BTM235,,,
CS211,CS360,CS348,CS492,CS330,,
CS220,CS330,CS376,CS422,CS492,,
AE350,AE307,CS204,,,,
CS311,CS230,AE400,CS206,AE494,,
CS454,CS300,CS320,AE480,,,
CS330,CCS360,AE300,,,,
CS341,CS376,CS484,CS470,,,
CS380,CS492,CS341,,,,
CS204,EE201,EE202,,,,
CS376,EE488,CS320,CS311,EE305,,
EE211,CS300,CS230,CS206,EE204,,
CS380,EE303,CS492,,,,
CS330,CS374,CS320,,,,
CS470,CS484,CS360,,,,
CS380,EE312,CS570,,,,
EE209,CS204,CS206,,,,
EE205,CS230,,,,,
CS220,CS330,CS376,CS320,,,
CS470,CS431,EE424,CS360,CS411,,
CS576,CS492,CS492,IE471,,,
CS206,CS311,ID219,,,,
CS300,CS230,ID301,,,,
CS320,ID211,ID301,,,,
CS376,CS330,ID304,ID218,,,
CS220,ID217,CS360,ID307,,,
EE201,EE211,EE210,EE485,,,
EE304,EE305,,,,,
EE204,BTM235,,,,,
CS204,CS206,CS311,,,,
CS230,CS300,CS454,,,,
EE202,CS320,CS360,CS372,,,
EE210,CS376,CS489,,,,
CS330,CS470,CD401,,,,
CS220,CS380,,,,,
EE201,EE204,EE485,CS206,,,
EE202,EE209,EE305,CS204,EE303,,
EE414,CS230,CS300,CS376,CS360,,
CS320,CS473,CS482,,,,
CS311,CS402,CS453,CS457,CS481,CS492,
CS479,CS489,,,,,
EE201,EE204,EE209,EE485,,,
MS310,EE209,EE211,MS212,,,
MS212,MS216,EE202,EE210,,,
MS213,MS381,EE304,EE305,,,
MS311,MS321,EE303,EE362,,,
MS340,MS431,MS482,EE305,EE321,EE488,
MS331,EE403,CS311,,,,
MS214,MS322,MS354,MS481,EE405,,
EE201,EE209,EE211,EE485,CS206,,
EE201,EE202,CS204,CS311,CS320,,
EE202,EE304,CS202,CS230,,,
EE210,EE213,CS311,CS320,,,
EE210,EE303,EE305,EE372,CS372,CS380,
EE205,EE312,EE326,EE405,EE432,CS300,
CS220,CS330,CS360,CS376,,,
EE204,EE485,CS211,CS300,CS320,,
EE201,EE210,,,,,
EE204,EE209,EE303,EE485,,,
CS204,CS206,EE202,EE305,,,
EE321,EE414,EE474,EE477,,,
CS376,CD402,,,,,
CS376,CS360,,,,,
CS330,CS492,CS320,EE201,,,
CS230,CS204,CS220,MSB230,,,
CS300,CS311,EE209,EE201,,,
CS206,CS492,,,,,
CS206,CS204,IE331,,,,
IE343,CS470,IE471,IE361,CS320,EE210,
EE211,MS212,EE201,EE485,,,
EE202,EE210,EE485,BTM230,,,
EE209,EE303,EE381,EE201,,,
EE209,EE304,EE362,EE326,,,
CH221,EE463,EE403,EE305,,,
CS206,EE403,EE465,,,,
EE202,EE210,EE209,EE485,,,
EE211,EE304,ID202,EE485,,,
CS206,EE303,ID219,,,,